======================================
CHUAN BI TU THE (Giu tay on dinh)...
Mat 3 giay de bat dau lay mau...
DANG DO... (Hay giu yen tay)
[CHUYEN MUC NGAY !] - Time: 8000 ms
[CHUYEN MUC NGAY !] - Time: 8050 ms
[CHUYEN MUC NGAY !] - Time: 8100 ms
[CHUYEN MUC NGAY !] - Time: 8150 ms
[CHUYEN MUC NGAY !] - Time: 8200 ms
[CHUYEN MUC NGAY !] - Time: 8250 ms
[CHUYEN MUC NGAY !] - Time: 8300 ms
[CHUYEN MUC NGAY !] - Time: 8350 ms
[CHUYEN MUC NGAY !] - Time: 8400 ms
[CHUYEN MUC NGAY !] - Time: 8450 ms
[CHUYEN MUC NGAY !] - Time: 8500 ms
[CHUYEN MUC NGAY !] - Time: 8550 ms
[CHUYEN MUC NGAY !] - Time: 8600 ms
[CHUYEN MUC NGAY !] - Time: 8650 ms
[CHUYEN MUC NGAY !] - Time: 8700 ms
[CHUYEN MUC NGAY !] - Time: 8750 ms
[CHUYEN MUC NGAY !] - Time: 8800 ms
[CHUYEN MUC NGAY !] - Time: 8850 ms
[CHUYEN MUC NGAY !] - Time: 8900 ms
[CHUYEN MUC NGAY !] - Time: 8950 ms
[CHUYEN MUC NGAY !] - Time: 9000 ms
...
(Da xong buoc chuyen, tiep tuc giu yen tay cho den het 20s)
...
======================================
HOAN THANH! COPY DU LIEU BEN DUOI VA LUU THANH FILE .CSV:
Time(ms),Raw_Altitude(m),EMA_Altitude(m)
7150,144.5211,144.4504
7200,144.4839,144.4738
7250,144.3523,144.3888
7300,144.4548,144.4350
7350,144.6302,144.5716
7400,144.9152,144.8121
7450,144.6598,144.7055
7500,144.4089,144.4979
7550,144.5053,144.5031
7600,144.6409,144.5995
7650,144.8056,144.7438
7700,144.7617,144.7563
7750,144.5593,144.6184
7800,144.7459,144.7077
7850,144.6791,144.6877
7900,144.6485,144.6603
7950,144.7424,144.7177
8000,144.6939,144.7011
8050,144.5624,144.6040
8100,144.6603,144.6434
8150,144.6103,144.6202
8200,144.8357,144.7710
8250,144.5996,144.6510
8300,144.6225,144.6311
8350,144.5593,144.5809
8400,144.6200,144.6082
8450,144.7092,144.6789
8500,144.8357,144.7887
8550,144.5925,144.6513
8600,144.6343,144.6394
8650,144.6827,144.6697
8700,144.8504,144.7962
8750,144.7459,144.7610
8800,144.6526,144.6851
8850,144.8734,144.8169
8900,144.8097,144.8118
8950,145.0243,144.9606
9000,144.9045,144.9213
9050,144.8953,144.9031
9100,145.2329,145.1339
9150,145.1579,145.1507
9200,145.1161,145.1265
9250,145.1727,145.1588
9300,144.9111,144.9854
9350,145.2854,145.1954
9400,145.2471,145.2316
9450,145.0309,145.0912
9500,145.3160,145.2485
9550,145.1956,145.2115
9600,145.2527,145.2404
9650,145.2553,145.2508
9700,144.8953,145.0020
9750,145.0804,145.0569
9800,145.2344,145.1811
9850,145.2104,145.2016
9900,145.1064,145.1350
9950,144.9973,145.0386
10000,145.2568,145.1914
10050,145.1921,145.1919
10100,145.3277,145.2870
10150,145.2793,145.2816
10200,145.2196,145.2382
10250,145.2553,145.2502
10300,145.0840,145.1338
10350,145.0309,145.0618
10400,145.1921,145.1530
10450,145.1146,145.1261
10500,145.1885,145.1698
10550,145.0452,145.0826
10600,145.0697,145.0736
10650,144.8403,144.9102
10700,144.9973,144.9712
10750,145.0667,145.0380
10800,144.6373,144.7575
10850,144.6333,144.6705
10900,144.7011,144.6919
10950,145.0529,144.9446
11000,145.0539,145.0211
11050,145.0916,145.0705
11100,144.7760,144.8643
11150,144.7837,144.8079
11200,144.7602,144.7745
11250,144.9336,144.8858
11300,145.0126,144.9746
11350,144.8805,144.9088
11400,145.0840,145.0314
11450,145.0391,145.0368
11500,145.0309,145.0327
11550,144.9264,144.9583
11600,145.0988,145.0566
11650,145.1146,145.0972
11700,145.1023,145.1008
11750,145.1625,145.1440
11800,145.0804,145.0995
11850,144.9336,144.9833
11900,145.1594,145.1066
11950,144.8117,144.9002
12000,144.9677,144.9475
12050,144.9647,144.9595
12100,144.9932,144.9831
12150,144.9825,144.9827
12200,145.0095,145.0015
12250,145.1956,145.1374
12300,145.0697,145.0900
12350,145.1956,145.1640
12400,145.0309,145.0708
12450,145.0309,145.0429
12500,145.3160,145.2341
12550,145.1742,145.1922
12600,145.3007,145.2681
12650,144.8627,144.9843
12700,145.0090,145.0016
12750,145.2043,145.1435
12800,144.9376,144.9994
12850,145.1814,145.1268
12900,145.2079,145.1835
12950,145.2675,145.2423
13000,145.1023,145.1443
13050,145.0427,145.0732
13100,145.2527,145.1989
13150,145.3088,145.2758
13200,145.3767,145.3464
13250,145.2415,145.2730
13300,145.3303,145.3131
13350,144.9524,145.0606
13400,144.9045,144.9513
13450,144.7908,144.8390
13500,145.1176,145.0340
13550,144.9193,144.9537
13600,144.7357,144.8011
13650,144.6450,144.6918
13700,145.0427,144.9374
13750,145.1508,145.0868
13800,145.0126,145.0348
13850,144.8097,144.8772
13900,145.0539,145.0009
13950,145.1656,145.1162
14000,144.9601,145.0069
14050,144.8438,144.8928
14100,144.9030,144.8999
14150,145.0697,145.0188
14200,145.2415,145.1747
14250,144.8474,144.9456
14300,145.0539,145.0214
14350,145.2487,145.1805
14400,145.0534,145.0915
14450,144.9070,144.9624
14500,144.7847,144.8380
14550,144.8591,144.8528
14600,145.1288,145.0460
14650,144.8851,144.9334
14700,144.9448,144.9414
14750,144.9483,144.9463
14800,144.8703,144.8931
14850,144.9300,144.9189
14900,145.0508,145.0113
14950,145.0942,145.0693
15000,145.1294,145.1113
15050,145.1854,145.1632
15100,145.0350,145.0735
15150,145.1854,145.1519
15200,145.4547,145.3638
15250,145.3506,145.3546
15300,145.1702,145.2255
15350,145.0840,145.1264
15400,145.0799,145.0939
15450,145.2635,145.2126
15500,145.0840,145.1226
15550,145.1294,145.1273
15600,145.0651,145.0838
15650,144.8703,144.9344
15700,144.8367,144.8660
15750,144.9555,144.9286
15800,145.2043,145.1216
15850,144.9407,144.9950
15900,145.2635,145.1829
15950,145.0957,145.1219
16000,145.3420,145.2760
16050,145.1288,145.1730
16100,145.3201,145.2759
16150,144.9601,145.0548
16200,145.3537,145.2641
16250,145.0391,145.1066
16300,145.2487,145.2061
16350,144.9825,145.0496
16400,145.1365,145.1104
16450,144.9254,144.9809
16500,145.2145,145.1444
16550,145.0508,145.0789
16600,145.1956,145.1606
16650,145.2375,145.2144
16700,145.1849,145.1938
16750,145.1849,145.1876
16800,145.1477,145.1597
16850,145.1854,145.1777
16900,144.8775,144.9675
16950,144.8953,144.9170
17000,144.9825,144.9629
17050,145.1100,145.0658
17100,144.8963,144.9472
17150,145.1207,145.0686
17200,145.1956,145.1575
17250,145.1023,145.1189
17300,144.9861,145.0259
17350,145.0391,145.0352
17400,145.0575,145.0508
17450,145.2120,145.1636
17500,145.0539,145.0868
17550,145.2375,145.1923
17600,145.1885,145.1896
17650,145.1696,145.1756
17700,144.9784,145.0376
17750,145.0243,145.0283
17800,145.0728,145.0594
17850,145.0539,145.0556
17900,145.1324,145.1094
17950,145.2716,145.2229
18000,145.2043,145.2099
18050,145.2043,145.2060
18100,145.3843,145.3308
18150,144.8846,145.0185
18200,145.2344,145.1696
18250,144.9606,145.0233
18300,144.9794,144.9926
18350,145.0427,145.0277
18400,145.1324,145.1010
18450,145.0202,145.0445
18500,144.9606,144.9858
18550,145.0508,145.0313
18600,145.0279,145.0289
18650,145.1885,145.1406
18700,145.3649,145.2976
18750,145.0095,145.0960
18800,145.1100,145.1058
18850,145.1594,145.1433
18900,145.2344,145.2071
18950,145.1105,145.1395
19000,145.3726,145.3026
19050,145.0391,145.1182
19100,144.9642,145.0104
19150,144.9759,144.9862
19200,145.0233,145.0122
19250,145.3950,145.2802
19300,145.2645,145.2692
19350,145.4440,145.3915
19400,145.0804,145.1738
19450,145.2145,145.2023
19500,145.2344,145.2248
19550,144.9453,145.0291
19600,145.0060,145.0129
19650,145.1105,145.0812
19700,144.9269,144.9732
19750,144.9978,144.9904
19800,145.1712,145.1170
19850,145.0136,145.0446
19900,145.1365,145.1089
19950,145.1849,145.1621
