======================================
CHUAN BI TU THE (Giu tay on dinh)...
Mat 3 giay de bat dau lay mau...
DANG DO... (Hay giu yen tay)
======================================
CHUAN BI TU THE (Giu tay on dinh)...
Mat 3 giay de bat dau lay mau...
DANG DO... (Hay giu yen tay)
[CHUYEN MUC NGAY !] - Time: 8000 ms
[CHUYEN MUC NGAY !] - Time: 8050 ms
[CHUYEN MUC NGAY !] - Time: 8100 ms
[CHUYEN MUC NGAY !] - Time: 8150 ms
[CHUYEN MUC NGAY !] - Time: 8200 ms
[CHUYEN MUC NGAY !] - Time: 8250 ms
[CHUYEN MUC NGAY !] - Time: 8300 ms
[CHUYEN MUC NGAY !] - Time: 8350 ms
[CHUYEN MUC NGAY !] - Time: 8400 ms
[CHUYEN MUC NGAY !] - Time: 8450 ms
[CHUYEN MUC NGAY !] - Time: 8500 ms
[CHUYEN MUC NGAY !] - Time: 8550 ms
[CHUYEN MUC NGAY !] - Time: 8600 ms
[CHUYEN MUC NGAY !] - Time: 8650 ms
[CHUYEN MUC NGAY !] - Time: 8700 ms
[CHUYEN MUC NGAY !] - Time: 8750 ms
[CHUYEN MUC NGAY !] - Time: 8800 ms
[CHUYEN MUC NGAY !] - Time: 8850 ms
[CHUYEN MUC NGAY !] - Time: 8900 ms
[CHUYEN MUC NGAY !] - Time: 8950 ms
[CHUYEN MUC NGAY !] - Time: 9000 ms
...
(Da xong buoc chuyen, tiep tuc giu yen tay cho den het 20s)
...
======================================
HOAN THANH! COPY DU LIEU BEN DUOI VA LUU THANH FILE .CSV:
Time(ms),Raw_Altitude(m),EMA_Altitude(m)
3150,142.2117,142.1346
3200,142.2835,142.1793
3250,142.2983,142.2150
3300,142.0842,142.1758
3350,142.3350,142.2236
3400,142.1780,142.2099
3450,142.2117,142.2104
3500,142.3350,142.2478
3550,142.2234,142.2405
3600,142.2983,142.2578
3650,142.2045,142.2419
3700,142.1969,142.2284
3750,142.2983,142.2493
3800,142.2795,142.2584
3850,142.4813,142.3253
3900,142.2820,142.3123
3950,142.3799,142.3326
4000,142.3549,142.3393
4050,142.1592,142.2852
4100,142.1852,142.2552
4150,142.5221,142.3353
4200,142.4936,142.3828
4250,142.2983,142.3574
4300,142.3269,142.3483
4350,142.2637,142.3229
4400,142.4293,142.3548
4450,142.4772,142.3916
4500,142.1740,142.3263
4550,142.2754,142.3110
4600,142.2784,142.3012
4650,142.1291,142.2496
4700,142.0506,142.1899
4750,142.4181,142.2584
4800,142.1556,142.2275
4850,142.3284,142.2578
4900,141.9726,142.1722
4950,142.2458,142.1943
5000,142.0842,142.1613
5050,142.1373,142.1541
5100,142.0236,142.1149
5150,142.2040,142.1417
5200,142.2754,142.1818
5250,142.2835,142.2123
5300,142.2983,142.2381
5350,141.9797,142.1606
5400,142.2086,142.1750
5450,142.2682,142.2030
5500,142.1031,142.1730
5550,142.2295,142.1900
5600,142.2336,142.2030
5650,141.9787,142.1357
5700,142.3050,142.1865
5750,142.0659,142.1503
5800,142.1485,142.1498
5850,142.1291,142.1436
5900,142.0990,142.1302
5950,142.3055,142.1828
6000,142.2157,142.1927
6050,142.4140,142.2591
6100,142.3269,142.2794
6150,142.1892,142.2524
6200,141.9267,142.1547
6250,142.0649,142.1277
6300,142.1821,142.1440
6350,142.3656,142.2105
6400,142.3315,142.2468
6450,142.4406,142.3049
6500,142.1138,142.2476
6550,142.1780,142.2267
6600,142.1332,142.1987
6650,142.4329,142.2689
6700,142.3473,142.2924
6750,142.4370,142.3358
6800,142.3243,142.3324
6850,142.2907,142.3199
6900,142.2417,142.2964
6950,142.1479,142.2519
7000,142.3126,142.2701
7050,142.2718,142.2706
7100,142.1189,142.2251
7150,142.2606,142.2357
7200,142.3473,142.2692
7250,142.2494,142.2633
7300,141.9869,142.1803
7350,142.0695,142.1471
7400,142.2835,142.1880
7450,142.3957,142.2503
7500,142.3432,142.2782
7550,142.0807,142.2189
7600,142.0842,142.1785
7650,142.0542,142.1412
7700,142.2152,142.1634
7750,142.1704,142.1655
7800,142.0659,142.1356
7850,142.1704,142.1460
7900,142.2010,142.1625
7950,142.1072,142.1459
8000,142.0960,142.1309
8050,141.9456,142.0753
8100,142.2576,142.1300
8150,142.1525,142.1368
8200,142.0766,142.1187
8250,142.1520,142.1287
8300,141.9379,142.0715
8350,142.0909,142.0773
8400,142.0766,142.0771
8450,142.2861,142.1398
8500,142.2535,142.1739
8550,142.2086,142.1843
8600,142.1520,142.1746
8650,142.2861,142.2081
8700,142.1780,142.1991
8750,142.3763,142.2522
8800,142.2372,142.2477
8850,142.1485,142.2179
8900,142.5236,142.3096
8950,142.4181,142.3422
9000,142.3014,142.3300
9050,142.2647,142.3104
9100,142.3243,142.3146
9150,142.2377,142.2915
9200,142.2943,142.2923
9250,142.1597,142.2525
9300,142.3880,142.2932
9350,142.0659,142.2250
9400,142.0659,142.1773
9450,142.1214,142.1605
9500,142.4140,142.2366
9550,142.3360,142.2664
9600,142.1520,142.2321
9650,142.4105,142.2856
9700,142.1556,142.2466
9750,142.2117,142.2361
9800,142.1148,142.1997
9850,142.1214,142.1763
9900,142.0613,142.1418
9950,142.2270,142.1673
10000,142.1301,142.1562
10050,142.2861,142.1951
10100,142.1597,142.1845
10150,142.4181,142.2546
10200,142.3998,142.2981
10250,142.5502,142.3737
10300,142.6582,142.4591
10350,142.5532,142.4873
10400,142.6399,142.5331
10450,142.3773,142.4864
10500,142.6648,142.5399
10550,142.7107,142.5911
10600,142.3998,142.5337
10650,142.3773,142.4868
10700,142.3998,142.4607
10750,142.4706,142.4637
10800,142.2835,142.4096
10850,142.4222,142.4134
10900,142.5078,142.4417
10950,142.1454,142.3528
11000,142.5833,142.4220
11050,142.5843,142.4707
11100,142.6475,142.5237
11150,142.5981,142.5460
11200,142.6134,142.5662
11250,142.5909,142.5736
11300,142.9248,142.6790
11350,142.7709,142.7066
11400,142.5603,142.6627
11450,142.7097,142.6768
11500,142.5456,142.6374
11550,142.4039,142.5674
11600,142.5094,142.5500
11650,142.3957,142.5037
11700,142.6740,142.5548
11750,142.6771,142.5915
11800,142.5843,142.5893
11850,142.5502,142.5776
11900,142.5833,142.5793
11950,142.5685,142.5760
12000,142.5349,142.5637
12050,142.4936,142.5426
12100,142.4446,142.5132
12150,142.4895,142.5061
12200,142.6878,142.5606
12250,142.6546,142.5888
12300,142.4069,142.5342
12350,142.5430,142.5369
12400,142.4681,142.5162
12450,142.4681,142.5018
12500,142.5267,142.5093
12550,142.5721,142.5281
12600,142.4788,142.5133
12650,142.5685,142.5299
12700,142.2494,142.4457
12750,142.3437,142.4151
12800,142.6847,142.4960
12850,142.3880,142.4636
12900,142.3921,142.4422
12950,142.3666,142.4195
13000,142.3957,142.4124
13050,142.4298,142.4176
13100,142.4977,142.4416
13150,142.2540,142.3853
13200,142.4818,142.4143
13250,142.4747,142.4324
13300,142.6332,142.4927
13350,142.6440,142.5380
13400,142.7005,142.5868
13450,142.5950,142.5892
13500,142.5272,142.5706
13550,142.5129,142.5533
13600,142.7107,142.6005
13650,142.5721,142.5920
13700,142.6027,142.5952
13750,142.4151,142.5412
13800,142.5211,142.5351
13850,142.5644,142.5439
13900,142.4110,142.5040
13950,142.2835,142.4379
14000,142.3896,142.4234
14050,142.4222,142.4230
14100,142.5272,142.4543
14150,142.5389,142.4797
14200,142.3707,142.4470
14250,142.5502,142.4779
14300,142.2346,142.4049
14350,142.4462,142.4173
14400,142.4839,142.4373
14450,142.4421,142.4387
14500,142.4716,142.4486
14550,142.5099,142.4670
14600,142.3824,142.4416
14650,142.6180,142.4945
14700,142.4421,142.4788
14750,142.3850,142.4507
14800,142.5996,142.4953
14850,142.6557,142.5434
14900,142.3009,142.4707
14950,142.5109,142.4827
15000,142.3835,142.4529
15050,142.4772,142.4602
15100,142.5170,142.4773
15150,142.7505,142.5592
15200,142.6225,142.5782
15250,142.6383,142.5963
15300,142.5593,142.5852
15350,142.3457,142.5133
15400,142.4696,142.5002
15450,142.4207,142.4763
15500,142.3753,142.4460
15550,142.3835,142.4273
15600,142.5063,142.4510
15650,142.4589,142.4534
15700,142.5481,142.4818
15750,142.6088,142.5199
15800,142.5899,142.5409
15850,142.5777,142.5519
15900,142.6042,142.5676
15950,142.5930,142.5752
16000,142.4064,142.5246
16050,142.9498,142.6521
16100,142.9605,142.7447
16150,142.7811,142.7556
16200,142.7433,142.7519
16250,142.4584,142.6638
16300,142.4319,142.5943
16350,142.2626,142.4948
16400,142.5634,142.5154
16450,142.4671,142.5009
16500,142.3921,142.4682
16550,142.6648,142.5272
16600,142.4931,142.5170
16650,142.4319,142.4914
16700,142.5063,142.4959
16750,142.7785,142.5807
16800,142.5303,142.5656
16850,142.5410,142.5582
16900,142.6771,142.5938
16950,142.6648,142.6151
17000,142.6919,142.6382
17050,142.6052,142.6283
17100,142.4028,142.5606
17150,142.5078,142.5448
17200,142.7479,142.6057
17250,142.5073,142.5762
17300,142.4599,142.5413
17350,142.4747,142.5213
17400,142.5874,142.5411
17450,142.6246,142.5662
17500,142.6358,142.5871
17550,142.4936,142.5590
17600,142.6541,142.5876
17650,142.5542,142.5776
17700,142.3799,142.5182
17750,142.3733,142.4747
17800,142.4186,142.4579
17850,142.4518,142.4561
17900,142.2305,142.3884
17950,142.3406,142.3741
18000,142.3243,142.3592
18050,142.3957,142.3701
18100,142.4140,142.3833
18150,142.4564,142.4052
18200,142.4818,142.4282
18250,142.1714,142.3512
18300,142.4039,142.3670
18350,142.3549,142.3633
18400,142.5119,142.4079
18450,142.4747,142.4279
18500,142.5603,142.4677
18550,142.6180,142.5128
18600,142.6628,142.5578
18650,142.5874,142.5667
18700,142.4074,142.5189
18750,142.6332,142.5532
18800,142.7224,142.6040
18850,142.5389,142.5845
18900,142.6888,142.6158
18950,142.3432,142.5340
19000,142.4268,142.5018
19050,142.6776,142.5546
19100,142.7179,142.6036
19150,142.4681,142.5629
19200,142.5461,142.5579
19250,142.5318,142.5500
19300,142.5425,142.5478
19350,142.4604,142.5216
19400,142.4523,142.5008
19450,142.4604,142.4887
19500,142.4910,142.4894
19550,142.3850,142.4581
19600,142.7760,142.5534
19650,142.3967,142.5064
19700,142.6965,142.5634
19750,142.4344,142.5247
19800,142.6898,142.5743
19850,142.5991,142.5817
19900,142.6862,142.6131
19950,142.6251,142.6167
